word,n
cash,41
quick,21
lender,20
easy,19
fast,19
payment,19
direct,18
money,18
help,17
fund,15
minute,14
next,14
bank,13
account,12
process,12
receive,12
sameday,12
time,12
borrow,10
expense,10
shortterm,10
amount,9
credit,9
creditscore,9
deposit,9
financial,9
personal,9
decision,8
fee,8
information,8
instant,8
secure,8
unexpected,8
offer,7
paycheck,7
provide,7
benefit,6
businessday,6
convenient,6
eligible,6
emergency,6
home,6
pickup,6
solution,6
week,6
consumer,5
cover,5
life,5
rate,5
small,5
typical,5
wait,5
access,4
bad,4
bill,4
comfort,4
day,4
debitcard,4
leave,4
licensed,4
nationwide,4
require,4
safe,4
short,4
shortfall,4
simple,4
surprise,4
visit,4
advantage,3
affect,3
check,3
committed,3
common,3
complete,3
connect,3
experience,3
immediate,3
industry,3
option,3
overnight,3
pay,3
payday,3
people,3
phone,3
procedure,3
proceed,3
qualify,3
repair,3
request,3
start,3
term,3
thousand,3
tough,3
traditional,3
twentyfour,3
avoid,2
budget,2
calculator,2
classic,2
collateral,2
