state_name,state,year,restriction_level
Alabama,AL,2006,legal
Alaska,AK,2006,legal
Arizona,AZ,2006,legal
Arkansas,AR,2006,legal
California,CA,2006,legal
Colorado,CO,2006,legal
Connecticut,CT,2006,prohibited
Delaware,DE,2006,legal
District of Columbia,DC,2006,legal
Florida ,FL,2006,legal
Georgia ,GA,2006,prohibited
Hawaii ,HI,2006,legal
Idaho ,ID,2006,legal
Illinois ,IL,2006,legal
Indiana ,IN,2006,legal
Iowa ,IA,2006,legal
Kansas ,KS,2006,legal
Kentucky ,KY,2006,legal
Louisiana ,LA,2006,legal
Maine ,ME,2006,effective ban
Maryland ,MD,2006,prohibited
Massachusetts ,MA,2006,prohibited
Michigan ,MI,2006,legal
Minnesota ,MN,2006,legal
Mississippi ,MS,2006,legal
Missouri ,MO,2006,legal
Montana ,MT,2006,legal
Nebraska ,NE,2006,legal
Nevada ,NV,2006,legal
New Hampshire ,NH,2006,legal
New Jersey ,NJ,2006,prohibited
New Mexico ,NM,2006,legal
New York ,NY,2006,prohibited
North Carolina ,NC,2006,prohibited
North Dakota ,ND,2006,legal
Ohio ,OH,2006,legal
Oklahoma ,OK,2006,legal
Oregon ,OR,2006,legal
Pennsylvania ,PA,2006,prohibited
Rhode Island ,RI,2006,legal
South Carolina ,SC,2006,legal
South Dakota ,SD,2006,legal
Tennessee ,TN,2006,legal
Texas ,TX,2006,legal
Utah ,UT,2006,legal
Vermont ,VT,2006,prohibited
Virginia ,VA,2006,legal
Washington ,WA,2006,legal
West Virginia ,WV,2006,prohibited
Wisconsin ,WI,2006,legal
Wyoming ,WY,2006,legal
Alabama,AL,2020,legal
Alaska,AK,2020,legal
Arizona,AZ,2020,prohibited
Arkansas,AR,2020,prohibited
California,CA,2020,legal
Colorado,CO,2020,effective ban
Connecticut,CT,2020,prohibited
Delaware,DE,2020,legal
District of Columbia,DC,2020,prohibited
Florida ,FL,2020,legal
Georgia ,GA,2020,prohibited
Hawaii ,HI,2020,legal
Idaho ,ID,2020,legal
Illinois ,IL,2020,legal
Indiana ,IN,2020,legal
Iowa ,IA,2020,legal
Kansas ,KS,2020,legal
Kentucky ,KY,2020,legal
Louisiana ,LA,2020,legal
Maine ,ME,2020,effective ban
Maryland ,MD,2020,prohibited
Massachusetts ,MA,2020,prohibited
Michigan ,MI,2020,legal
Minnesota ,MN,2020,legal
Mississippi ,MS,2020,legal
Missouri ,MO,2020,legal
Montana ,MT,2020,effective ban
Nebraska ,NE,2020,legal
Nevada ,NV,2020,legal
New Hampshire ,NH,2020,effective ban
New Jersey ,NJ,2020,prohibited
New Mexico ,NM,2020,effective ban
New York ,NY,2020,prohibited
North Carolina ,NC,2020,prohibited
North Dakota ,ND,2020,legal
Ohio ,OH,2020,effective ban
Oklahoma ,OK,2020,legal
Oregon ,OR,2020,effective ban
Pennsylvania ,PA,2020,prohibited
Rhode Island ,RI,2020,legal
South Carolina ,SC,2020,legal
South Dakota ,SD,2020,effective ban
Tennessee ,TN,2020,legal
Texas ,TX,2020,legal
Utah ,UT,2020,legal
Vermont ,VT,2020,prohibited
Virginia ,VA,2020,effective ban
Washington ,WA,2020,legal
West Virginia ,WV,2020,prohibited
Wisconsin ,WI,2020,legal
Wyoming ,WY,2020,legal
Alabama,AL,2015,legal
Alaska,AK,2015,legal
Arizona,AZ,2015,prohibited
Arkansas,AR,2015,prohibited
California,CA,2015,legal
Colorado,CO,2015,effective ban
Connecticut,CT,2015,prohibited
Delaware,DE,2015,legal
District of Columbia,DC,2015,prohibited
Florida ,FL,2015,legal
Georgia ,GA,2015,prohibited
Hawaii ,HI,2015,legal
Idaho ,ID,2015,legal
Illinois ,IL,2015,legal
Indiana ,IN,2015,legal
Iowa ,IA,2015,legal
Kansas ,KS,2015,legal
Kentucky ,KY,2015,legal
Louisiana ,LA,2015,legal
Maine ,ME,2015,effective ban
Maryland ,MD,2015,prohibited
Massachusetts ,MA,2015,prohibited
Michigan ,MI,2015,legal
Minnesota ,MN,2015,legal
Mississippi ,MS,2015,legal
Missouri ,MO,2015,legal
Montana ,MT,2015,effective ban
Nebraska ,NE,2015,legal
Nevada ,NV,2015,legal
New Hampshire ,NH,2015,effective ban
New Jersey ,NJ,2015,prohibited
New Mexico ,NM,2015,legal
New York ,NY,2015,prohibited
North Carolina ,NC,2015,prohibited
North Dakota ,ND,2015,legal
Ohio ,OH,2015,legal
Oklahoma ,OK,2015,legal
Oregon ,OR,2015,effective ban
Pennsylvania ,PA,2015,prohibited
Rhode Island ,RI,2015,legal
South Carolina ,SC,2015,legal
South Dakota ,SD,2015,legal
Tennessee ,TN,2015,legal
Texas ,TX,2015,legal
Utah ,UT,2015,legal
Vermont ,VT,2015,prohibited
Virginia ,VA,2015,effective ban
Washington ,WA,2015,legal
West Virginia ,WV,2015,prohibited
Wisconsin ,WI,2015,legal
Wyoming ,WY,2015,legal
